Time;Campaign;File Name;Longitude;Latitude;RSRP;RSRQ;PCI LTE;Technology;Home Operator;DL EARFCN
2022-08-20 12:06:05.265;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-92.3;-7;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:05.325;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-73.3;-7;240;LTE;XL;376
2022-08-20 12:06:05.325;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-80.9;-6.6;240;LTE;XL;1325
2022-08-20 12:06:05.574;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74;-8.9;59;LTE;Telkomsel;1850
2022-08-20 12:06:05.819;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.2;-5;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:05.819;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.3;-7.6;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:05.866;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93.3;-7.3;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:05.866;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.3;-12.5;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:05.926;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-80.7;-7;240;LTE;XL;1325
2022-08-20 12:06:05.926;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-75;-7;240;LTE;XL;376
2022-08-20 12:06:06.175;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.3;-8.6;59;LTE;Telkomsel;1850
2022-08-20 12:06:06.421;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-88.6;-7.9;298;LTE;Fren/Hepi;39050
2022-08-20 12:06:06.421;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.3;-5;298;LTE;Fren/Hepi;39194
2022-08-20 12:06:06.467;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.3;-10.9;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:06:06.467;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-95.6;-7;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:06.528;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-80.3;-8;240;LTE;XL;1325
2022-08-20 12:06:06.528;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-75;-6.3;240;LTE;XL;376
2022-08-20 12:06:06.777;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74;-8.6;59;LTE;Telkomsel;1850
2022-08-20 12:06:07.022;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87.3;-5;298;LTE;Fren/Hepi;39194
